layer_key,program_id,layer_id,spacecraft_name,entity,maxrisk_gross,maxrisk_net,gross_exposure
271177_329405,271177,329405,NUSANTARA LIMA,FUL,21777778.4,13066667.04,27222223.0
276734_338150,276734,338150,NUSANTARA LIMA,FUL,6222222.4,3733333.44,7777778.0
277977_340161,277977,340161,SXM-10,FUL,15999984.0,9599990.399999999,19999980.0
278759_341459,278759,341459,SXM-10,FUL,15999984.0,9599990.399999999,19999980.0
328274_433090,328274,433090,SPAINSAT NG-1,FIID,21280926.38450421,3192138.957675632,26601157.980630264
328274_436566,328274,436566,SPAINSAT NG-2,FIID,21280926.38450421,3192138.957675632,26601157.980630264
334082_445095,334082,445095,SPAINSAT NG-1,FIID,1805175.515848443,270776.3273772665,2256469.3948105536
334331_1,334331,1,CO3D 1,FIID,1756910.7082372885,263536.6062355933,2196138.3852966106
334331_2,334331,2,CO3D 2,FIID,1756910.7082372885,263536.6062355933,2196138.3852966106
334331_3,334331,3,CO3D 3,FIID,1756910.7082372885,263536.6062355933,2196138.3852966106
334331_4,334331,4,CO3D 4,FIID,1756910.7082372885,263536.6062355933,2196138.3852966106
334902_446645,334902,446645,OVZON-3,FIID,8659768.562886639,1298965.284432996,10824710.703608299
335513_447941,335513,447941,PAKSAT-MULTI MISSION 1 (PAKSAT-MM1),FUL,17319587.6,8659793.8,21649484.5
340072_456306,340072,456306,THAICOM 8,FUL,8907216.48,4453608.24,11134020.6
340405_457079,340405,457079,INMARSAT 6-F1,FUL,8339391.821152559,4169695.9105762793,10424239.776440699
340408_457089,340408,457089,HYLAS 4,FUL,989690.72,494845.36,1237113.4
340408_457090,340408,457090,HYLAS 4,FUL,8659793.8,4329896.9,10824742.25
341429_458634,341429,458634,TURKSAT 6A,FUL,5938144.814845359,2969072.4074226795,7422681.018556699
341568_458837,341568,458837,WORLDVIEW LEGION-1,FUL,3216495.82969072,1608247.91484536,4020619.7871133997
341568_459135,341568,459135,WORLDVIEW LEGION-2,FUL,3216495.82969072,1608247.91484536,4020619.7871133997
341568_459136,341568,459136,WORLDVIEW LEGION-3,FUL,3216495.82969072,1608247.91484536,4020619.7871133997
341568_459137,341568,459137,WORLDVIEW LEGION-4,FUL,3216495.82969072,1608247.91484536,4020619.7871133997
341568_473581,341568,473581,WORLDVIEW LEGION-2,FUL,3216495.82969072,1608247.91484536,4020619.7871133997
341568_473582,341568,473582,WORLDVIEW LEGION-3,FUL,3216495.82969072,1608247.91484536,4020619.7871133997
341568_473583,341568,473583,WORLDVIEW LEGION-4,FUL,3216495.82969072,1608247.91484536,4020619.7871133997
341568_473584,341568,473584,WORLDVIEW LEGION-1,FUL,3216495.82969072,1608247.91484536,4020619.7871133997
342462_460214,342462,460214,PLEIADES NEO 3,FIID,8002616.296847872,1200392.4445271809,10003270.37105984
342462_460219,342462,460219,PLEIADES NEO 4,FIID,8002616.296847872,1200392.4445271809,10003270.37105984
343722_463279,343722,463279,AMAZONAS NEXUS,FIID,22501039.377713688,3375155.906657055,28126299.222142108
343724_463281,343724,463281,INMARSAT 5-F5 (INMARSAT GX-5),FUL,8653338.04743344,4326669.02371672,10816672.559291799
343724_463282,343724,463282,HELLAS-SAT 3/INMARSAT-S-EAN,FUL,6097253.4331368795,3048626.7165684397,7621566.7914211
343724_463283,343724,463283,ALPHASAT I-XL,FUL,5223390.671706719,2611695.3358533597,6529238.3396334
343724_463284,343724,463284,INMARSAT 5-F4 (INMARSAT GX-4),FUL,10501026.786621999,5250513.3933109995,13126283.4832775
343724_463285,343724,463285,INMARSAT 5-F3 (INMARSAT GX-3),FUL,7640229.760462159,3820114.8802310796,9550287.200577699
343724_463286,343724,463286,INMARSAT 5-F2 (INMARSAT GX-2),FUL,7467264.48239992,3733632.24119996,9334080.6029999
343724_463287,343724,463287,INMARSAT 5-F1 (INMARSAT GX-1),FUL,6564106.3808124,3282053.1904062,8205132.9760155
343724_463288,343724,463288,INMARSAT 6-F1,FUL,15694041.37590512,7847020.68795256,19617551.7198814
344558_1,344558,1,EUTELSAT 36D,FIID,15851825.938983029,2377773.890847454,19814782.423728786
344558_10,344558,10,E3B,FIID,7196600.6335632745,1079490.0950344913,8995750.791954093
344558_11,344558,11,E9B,FIID,5164677.70367133,774701.6555506997,6455847.129589162
344558_12,344558,12,E117WB (S9),FIID,3510651.5506748534,526597.7326012282,4388314.438343567
344558_13,344558,13,E8WB,FIID,14787947.647332901,2218192.1470999364,18484934.559166126
