entity,scenario,detail,gross,ext_qs,other_ext_ri,net_of_ext_qs,igr_qs_ceded,net_of_qs,xol_ceded,net,s3123_qs,equity_usd,gross_incl_addons,net_incl_addons,qs_received,xol_received,direct_fibl,gross_receiver,net_receiver
FUL,Proton Flare,,29792854.005126808,5958570.801025363,0.0,23834283.204101443,11617141.758050725,12217141.446050726,0.0,12217141.446050726,,,,,,,,,
FUL,Generic Defect,,91281233.97453886,18256246.794907775,0.0,73024987.17963108,35632493.89381554,37392493.285815544,0.0,37392493.285815544,,,,,,,,,
FUL,Space Debris,,75340986.9021224,15068197.38042448,0.0,60272789.52169791,29836394.91684896,30436394.60484896,0.0,30436394.60484896,,,,,,,,,
FUL,Space Weather,Airbus Defence and Space (Toulouse),122607602.8099556,24521520.561991118,0.0,98086082.24796447,49043041.123982236,49043041.123982236,0.0,49043041.123982236,,,,,,,,,
FUL,Max Risk,SXM-10,39999960.0,7999992.0,0.0,31999968.0,12799987.200000001,19199980.799999997,0.0,19199980.799999997,,,,,,,,,
FIID,Proton Flare,,18188860.379874595,3637772.0759749194,0.0,14551088.303899676,12368425.058314726,2182663.245584952,0.0,2182663.245584952,,,,,,,,,
FIID,Generic Defect,,41311428.01952165,8262285.603904329,0.0,33049142.415617324,28091771.05327472,4957371.3623426,0.0,4957371.3623426,,,,,,,,,
FIID,Space Debris,,29705298.093197044,5941059.61863941,0.0,23764238.474557634,20199602.70337399,3564635.771183646,0.0,3564635.771183646,,,,,,,,,
FIID,Space Weather,Airbus Defence and Space (Toulouse),150731382.5439099,30146276.50878198,0.0,120585106.03512792,102497340.12985872,18087765.905269187,10587765.905269187,7500000.0,,,,,,,,,
FIID,Max Risk,SPAINSAT NG-1,28857627.375440817,5771525.475088164,0.0,23086101.900352653,19623186.615299754,3462915.2850528983,0.0,3462915.2850528983,,,,,,,,,
FIHL,Proton Flare,,47981714.385001406,9596342.877000282,,38385371.50800113,0.0,38385371.50800113,0.0,38385371.50800113,3385659.370903939,1432201.106591334,52799574.86249668,43203231.9854964,,,,,
FIBL,Proton Flare,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,3385659.370903939,1432201.106591334,,,23985566.81636545,0.0,0.0,28803427.293860722,28803427.293860722
FIHL,Generic Defect,,132592661.9940605,26518532.3988121,,106074129.5952484,0.0,106074129.5952484,0.0,106074129.5952484,9656668.505569538,3973009.5325739207,146222340.03220394,119703807.63339186,,,,,
FIBL,Generic Defect,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,9656668.505569538,3973009.5325739207,,,63724264.94709027,0.0,0.0,77353942.98523372,77353942.98523372
FIHL,Space Debris,,109046254.59531945,21809250.91906389,,87237003.67625555,0.0,87237003.67625555,0.0,87237003.67625555,8827312.74919631,3472821.1234509726,121346388.46796674,99537137.54890284,,,,,
FIBL,Space Debris,,3999969.6000000006,799993.9200000009,,3199975.6799999997,0.0,3199975.6799999997,0.0,3199975.6799999997,8827312.74919631,3472821.1234509726,,,50035997.620222956,0.0,3999969.6000000006,66336101.09287024,65536107.17287024
FIHL,Space Weather,Airbus Defence and Space (Toulouse),273338985.3538655,54667797.0707731,,218671188.2830924,0.0,218671188.28309238,0.0,218671188.28309238,18270379.598683517,9224022.348861514,300833387.30141056,246165590.2306374,,,,,
FIBL,Space Weather,Airbus Defence and Space (Toulouse),0.0,0.0,,0.0,0.0,0.0,0.0,0.0,18270379.598683517,9224022.348861514,,,151540381.25384098,10587765.905269187,0.0,189622549.10665518,189622549.10665518
FIHL,Max Risk,SXM-10,39999960.0,7999992.0,,31999968.0,0.0,31999968.0,0.0,31999968.0,0.0,0.0,39999960.0,31999968.0,,,,,
FIBL,Max Risk,SPAINSAT NG-2,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,2216763.1650525224,1097297.7667009984,,,18088787.426828578,0.0,0.0,21402848.358582098,21402848.358582098
