program_id,layer_id,program_name,entity,mapping_code,inception,expiry,coverage,layer_signed_exposure,Layer_Signed_Premium_USD,launch_date,Bus Type,bus_family,vehicle_family,orbit,months_on_risk,spacecraft_id,spacecraft_name,bus_manufacturer,prime_manufacturer,placing_basis,on_risk_date,off_risk_date,override_action,sql_igr_qs_rate,XOL_Deductible_USD,XOL_Limit_USD,sql_months_left,sql_ext_qs,sql_net_ext_qs,sql_igr_qs_ceded,sql_net_of_qs,sql_xol_ceded,sql_total_fibl_ceded,sql_net_of_xol,renewed_to_program_id,renewed_from_program_id,renewed_to_status,renewed_to_inception,is_consortium,program_type,underwriting_status,layer_key,per_sc,manual_include,lloyds_bus_type,excluded_reason,on_risk_flag,rpf,leo_months_left,leo_debris_rpf,debris_dr,layer_occ,exposure_usd,equity_pct,s3123_factor,equity_usd,ext_qs,other_ext_ri,net_ext_qs,net_ext,s3123_eligible,s3123_qs,uw_year,igr_qs_rate,igr_qs_ceded,net_of_qs,xol_ceded,total_fibl_ceded,net_of_xol,pf_fihl,pf_ful,pf_fiid,pf_fibl_direct,pf_fibl_ceded,gd_fihl,gd_ful,gd_fiid,gd_fibl_direct,gd_fibl_ceded,sd_fihl,sd_ful,sd_fiid,sd_fibl_direct,sd_fibl_ceded
344558,1,Eutelsat,FIID,ASO,2025-07-01,2026-06-30,Orbit,19814782.423728786,360543.773537872,2021-07-30,,EUROSTAR NEO,NULL,GEO-GSO,12.0,16310.0,EUTELSAT 36D,Airbus Defence and Space,Airbus Defence and Space,,2025-07-01,2026-06-30,Add Layer,0.85,7500000.0,72500000.0,0.0,3962956.4847457577,15851825.93898303,13474052.048135575,2377773.890847455,0.0,13474052.048135575,2377773.890847455,,,,,True,,,344558_1,19814782.423728786,False,,,1,0.2,0,0.0,0.05,1,19814782.423728786,0.075,0.4166666666666667,619211.9507415246,3962956.4847457577,0.0,15851825.938983029,15851825.938983029,True,1651231.8686440657,2025,0.85,13474052.048135575,2377773.890847454,0.0,13474052.048135575,2377773.890847454,990739.1211864394,0.0,990739.1211864394,0.0,842128.2530084735,1981478.2423728788,0.0,1981478.2423728788,0.0,1684256.506016947,990739.1211864394,0.0,990739.1211864394,0.0,842128.2530084735
344664,1,Arabsat,FUL,ASO,2025-07-01,2026-06-30,Orbit,25242749.444031846,426081.891445967,2023-03-26,,EUROSTAR E3000,NULL,GEO-GSO,12.0,15153.0,Arabsat BADR 8,Astrium Satellites SAS (Toulouse) (Part of EADS),Airbus Defence and Space (Toulouse),,2025-07-01,2026-06-30,Add Layer,0.5,50000000.0,245000000.0,0.0,5048549.888806369,20194199.555225477,10097099.777612738,10097099.777612738,0.0,10097099.777612738,10097099.777612738,,,,,True,,,344664_1,25242749.444031846,False,,,1,0.2,0,0.0,0.05,1,25242749.444031846,0.075,0.4166666666666667,788835.9201259952,5048549.888806369,0.0,20194199.555225477,20194199.555225477,True,2103562.453669321,2025,0.5,10097099.777612738,10097099.777612738,0.0,10097099.777612738,10097099.777612738,1262137.4722015923,1262137.4722015923,0.0,0.0,631068.7361007961,2524274.9444031846,2524274.9444031846,0.0,0.0,1262137.4722015923,1262137.4722015923,1262137.4722015923,0.0,0.0,631068.7361007961
334331,1,CO3D L+15,FIID,ASC,2025-02-04,2026-12-31,Launch and Orbit,2196138.3852966106,710084.745762712,2025-07-26,,ASTROBUS/ASTROSAT/S-BUS FAMILY (AIRBUS),VEGA-C,LEO,15.0,13879.0,CO3D 1,Airbus Defence and Space (Toulouse),Airbus Defence and Space (Toulouse),,2025-07-26,2026-10-25,Add Layer,0.85,7500000.0,72500000.0,7.0,439227.67705932213,1756910.7082372885,1493374.1020016952,263536.6062355933,0.0,1493374.1020016952,263536.6062355933,,,,,True,,,334331_1,2196138.3852966106,False,,,1,0.4,7,0.6,0.4,1,2196138.3852966106,0.075,0.4166666666666667,68629.32454051908,439227.67705932213,0.0,1756910.7082372885,1756910.7082372885,True,183011.5321080509,2025,0.85,1493374.1020016952,263536.6062355933,0.0,1493374.1020016952,263536.6062355933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,878455.3541186443,0.0,878455.3541186443,0.0,746687.0510008476
351444,1,Asiasat,FUL,ASO,2025-09-21,2026-09-20,In-Orbit,6358762.875999999,,2013-08-29,,MAXAR 1300 (FS-/LS-/SSL-1300),ARIANE 5,GEO-GSO,12.0,5883.0,ASIASAT 5,SSL (Space Systems/Loral - Part of Maxar),SSL (Space Systems/Loral - Part of Maxar),,2025-09-21,2026-09-20,Add Layer,0.5,50000000.0,245000000.0,0.0,1271752.5751999998,5087010.300799999,2543505.1503999997,2543505.1503999997,0.0,2543505.1503999997,2543505.1503999997,,,,,True,,,351444_1,6358762.875999999,False,,,1,0.2,0,0.0,0.05,1,6358762.875999999,0.075,0.4166666666666667,198711.33987499998,1271752.5751999998,0.0,5087010.300799999,5087010.300799999,True,529896.9063333333,2025,0.5,2543505.1503999997,2543505.1503999997,0.0,2543505.1503999997,2543505.1503999997,317938.14379999996,317938.14379999996,0.0,0.0,158969.07189999998,635876.2875999999,635876.2875999999,0.0,0.0,317938.14379999996,317938.14379999996,317938.14379999996,0.0,0.0,158969.07189999998
351444,2,Asiasat,FUL,ASO,2025-09-21,2026-09-20,In-Orbit,4082474.2199999997,,2018-09-25,,MAXAR 1300 (FS-/LS-/SSL-1300),ARIANE 5,GEO-GSO,12.0,9266.0,ASIASAT 6/THAICOM 7,SSL (Space Systems/Loral - Part of Maxar),SSL (Space Systems/Loral - Part of Maxar),,2025-09-21,2026-09-20,Add Layer,0.5,50000000.0,245000000.0,0.0,816494.844,3265979.376,1632989.688,1632989.688,0.0,1632989.688,1632989.688,2207,,Bound (Expired),2016-06-01,True,,,351444_2,4082474.2199999997,False,,,1,0.2,0,0.0,0.05,1,4082474.2199999997,0.075,0.4166666666666667,127577.31937499999,816494.844,0.0,3265979.3759999997,3265979.3759999997,True,340206.18500000006,2025,0.5,1632989.6879999998,1632989.6879999998,0.0,1632989.6879999998,1632989.6879999998,204123.711,204123.711,0.0,0.0,102061.8555,408247.422,408247.422,0.0,0.0,204123.711,204123.711,204123.711,0.0,0.0,102061.8555
334331,2,CO3D L+15,FIID,ASC,2025-02-04,2026-12-31,Launch and Orbit,2196138.3852966106,710084.745762712,2025-07-26,,ASTROBUS/ASTROSAT/S-BUS FAMILY (AIRBUS),VEGA-C,LEO,15.0,13880.0,CO3D 2,Airbus Defence and Space (Toulouse),Airbus Defence and Space (Toulouse),,2025-07-26,2026-10-25,Add Layer,0.85,7500000.0,72500000.0,7.0,439227.67705932213,1756910.7082372885,1493374.1020016952,263536.6062355933,0.0,1493374.1020016952,263536.6062355933,2207,,Bound (Expired),2016-06-01,True,,,334331_2,2196138.3852966106,False,,,1,0.4,7,0.6,0.4,1,2196138.3852966106,0.075,0.4166666666666667,68629.32454051908,439227.67705932213,0.0,1756910.7082372885,1756910.7082372885,True,183011.5321080509,2025,0.85,1493374.1020016952,263536.6062355933,0.0,1493374.1020016952,263536.6062355933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,878455.3541186443,0.0,878455.3541186443,0.0,746687.0510008476
344664,2,Arabsat,FUL,ASO,2025-07-01,2025-07-31,Orbit,102523.91331881752,73.8739358582188,2019-04-11,,EUROSTAR E3000,NULL,GEO-GSO,12.0,8249.0,Arabsat 5A,Astrium Satellites SAS (Toulouse) (Part of EADS),Astrium Satellites SAS (Toulouse) (Part of EADS),,2025-07-01,2026-06-30,Add Layer,0.5,50000000.0,245000000.0,0.0,20504.782663763504,82019.13065505402,41009.56532752701,41009.56532752701,0.0,41009.56532752701,41009.56532752701,2207,,Bound (Expired),2016-06-01,True,,,344664_2,102523.91331881752,False,,,1,0.2,0,0.0,0.05,1,102523.91331881752,0.075,0.4166666666666667,3203.8722912130474,20504.782663763504,0.0,82019.13065505402,82019.13065505402,True,8543.659443234794,2025,0.5,41009.56532752701,41009.56532752701,0.0,41009.56532752701,41009.56532752701,5126.195665940876,5126.195665940876,0.0,0.0,2563.097832970438,10252.391331881752,10252.391331881752,0.0,0.0,5126.195665940876,5126.195665940876,5126.195665940876,0.0,0.0,2563.097832970438
344558,2,Eutelsat,FIID,ASO,2025-07-01,2026-06-30,Orbit,3567555.573237105,64914.1595993826,2019-06-20,,SPACEBUS 4000,NULL,GEO-GSO,12.0,8137.0,W7/E36B,Alcatel Alenia Space (Cannes),Alcatel Alenia Space (Cannes),,2025-07-01,2026-06-30,Add Layer,0.85,7500000.0,72500000.0,0.0,713511.114647421,2854044.458589684,2425937.7898012316,428106.6687884527,0.0,2425937.7898012316,428106.6687884527,2207,,Bound (Expired),2016-06-01,True,,,344558_2,3567555.573237105,False,,,1,0.2,0,0.0,0.05,1,3567555.573237105,0.075,0.4166666666666667,111486.11166365953,713511.114647421,0.0,2854044.4585896838,2854044.4585896838,True,297296.2977697588,2025,0.85,2425937.789801231,428106.66878845263,0.0,2425937.789801231,428106.66878845263,178377.77866185526,0.0,178377.77866185526,0.0,151621.11186257694,356755.5573237105,0.0,356755.5573237105,0.0,303242.2237251539,178377.77866185526,0.0,178377.77866185526,0.0,151621.11186257694
344558,3,Eutelsat,FIID,ASO,2025-07-01,2026-06-30,Orbit,3955653.7664769525,71975.8766599928,2020-01-16,,BSS-702SP,NULL,GEO-GSO,12.0,8692.0,E115WB (S7),Boeing Satellite Systems Inc.,Boeing Satellite Systems Inc.,,2025-07-01,2026-06-30,Add Layer,0.85,7500000.0,72500000.0,0.0,791130.7532953905,3164523.013181562,2689844.5612043277,474678.4519772344,0.0,2689844.5612043277,474678.4519772344,,,,,True,,,344558_3,3955653.7664769525,False,,,1,0.2,0,0.0,0.05,1,3955653.7664769525,0.075,0.4166666666666667,123614.18020240475,791130.7532953905,0.0,3164523.013181562,3164523.013181562,True,329637.8138730794,2025,0.85,2689844.5612043277,474678.45197723433,0.0,2689844.5612043277,474678.45197723433,197782.68832384763,0.0,197782.68832384763,0.0,168115.28507527048,395565.37664769526,0.0,395565.37664769526,0.0,336230.57015054097,197782.68832384763,0.0,197782.68832384763,0.0,168115.28507527048
344664,3,Arabsat,FUL,ASO,2025-07-01,2026-06-30,Orbit,5146207.498662574,74301.9276415773,2012-11-10,,EUROSTAR E3000,NULL,GEO-GSO,12.0,8250.0,Arabsat 5B,Astrium Satellites SAS (Toulouse) (Part of EADS),Astrium Satellites SAS (Toulouse) (Part of EADS),,2025-07-01,2026-06-30,Add Layer,0.5,50000000.0,245000000.0,0.0,1029241.4997325148,4116965.9989300594,2058482.9994650297,2058482.9994650297,0.0,2058482.9994650297,2058482.9994650297,,,,,True,,,344664_3,5146207.498662574,False,,,1,0.2,0,0.0,0.05,1,5146207.498662574,0.075,0.4166666666666667,160818.98433320544,1029241.4997325148,0.0,4116965.9989300594,4116965.9989300594,True,428850.62488854787,2025,0.5,2058482.9994650297,2058482.9994650297,0.0,2058482.9994650297,2058482.9994650297,257310.3749331287,257310.3749331287,0.0,0.0,128655.18746656436,514620.7498662574,514620.7498662574,0.0,0.0,257310.3749331287,257310.3749331287,257310.3749331287,0.0,0.0,128655.18746656436
