column,status,max_diff,n_bad,ours,workbook,diff
rpf,MISSING,,,,,
leo_months_left,MISSING,,,,,
leo_debris_rpf,MISSING,,,,,
debris_dr,MISSING,,,,,
equity_pct,MISSING,,,,,
equity_usd,MISSING,,,,,
layer_occ,MISSING,,,,,
exposure_usd,MISSING,,,,,
per_sc,MISSING,,,,,
ext_qs,MISSING,,,,,
net_ext_qs,MISSING,,,,,
s3123_qs,MISSING,,,,,
net_ext,MISSING,,,,,
igr_qs_rate,MISSING,,,,,
igr_qs_ceded,MISSING,,,,,
net_of_qs,MISSING,,,,,
xol_ceded,MISSING,,,,,
net_of_xol,MISSING,,,,,
pf_fihl,MISSING,,,,,
pf_ful,MISSING,,,,,
pf_fiid,MISSING,,,,,
pf_fibl_ceded,MISSING,,,,,
gd_fihl,MISSING,,,,,
gd_ful,MISSING,,,,,
gd_fiid,MISSING,,,,,
sd_fihl,MISSING,,,,,
sd_ful,MISSING,,,,,
sd_fiid,MISSING,,,,,
FIHL · Proton Flare · gross,MISMATCH,,,47981714.385001406,52806166.0,4824451.614998594
FIHL · Space Weather · gross,MISMATCH,,,273338985.3538655,300953877.0,27614891.646134496
FIHL · Generic Defect · gross,MISMATCH,,,132592661.9940605,146248706.0,13656044.005939499
FIHL · Space Debris · gross,MISMATCH,,,109046323.77234346,121353137.0,12306813.227656543
FIHL · Max Risk · gross,OK,,,39999960.0,39999960.0,0.0
FUL · Proton Flare · gross,OK,,,29792854.005126808,29792854.0,0.00512680783867836
FUL · Proton Flare · net,OK,,,12217141.446050726,12217141.0,0.446050725877285
FUL · Space Weather · gross,OK,,,122607602.8099556,122607603.0,0.19004440307617188
FUL · Space Weather · net,OK,,,49043041.123982236,49043041.0,0.12398223578929901
FUL · Generic Defect · gross,OK,,,91281233.97453886,91281234.0,0.025461137294769287
FUL · Space Debris · gross,MISMATCH,,,75341056.07914639,75341125.0,68.92085361480713
FUL · Max Risk · gross,OK,,,39999960.0,39999960.0,0.0
FIID · Proton Flare · gross,OK,,,18188860.379874595,18188860.0,0.3798745945096016
FIID · Proton Flare · net,OK,,,2182663.245584952,2182663.0,0.2455849521793425
FIID · Space Weather · gross,OK,,,150731382.5439099,150731383.0,0.4560900926589966
FIID · Space Weather · xol_ceded,OK,,,10587765.905269187,10587766.0,0.09473081305623055
FIID · Space Weather · net,OK,,,7500000.0,7500000.0,0.0
FIID · Generic Defect · gross,OK,,,41311428.01952165,41311428.0,0.019521653652191162
FIID · Generic Defect · net,OK,,,4957371.3623426,4957371.0,0.36234259977936745
FIID · Space Debris · gross,OK,,,29705298.093197044,29705298.0,0.0931970439851284
FIID · Max Risk · gross,OK,,,28857627.375440817,28857627.0,0.3754408173263073
