bus_manufacturer,sw_fihl,sw_fibl_ceded,sw_ful,sw_fiid,sw_fibl_direct
Airbus Defence and Space,19814782.423728786,13474052.048135575,0.0,19814782.423728786,0.0
Airbus Defence and Space (Stevenage),10003270.37105984,6802223.852320692,0.0,10003270.37105984,0.0
Airbus Defence and Space (Toulouse),273338985.3538655,151540381.25384095,122607602.8099556,150731382.54390988,0.0
Airbus Defence and Space/Thales Alenia Space JOINT,7891909.720042693,3156763.8880170775,7891909.720042693,0.0,0.0
Alcatel Alenia Space (Cannes),3567555.573237105,2425937.789801231,0.0,3567555.573237105,0.0
Astranis,1799484.9840000002,719793.9935999999,1799484.9840000002,0.0,0.0
Astrium Limited - Stevenage (Part of EADS),26769687.7904354,10707875.11617416,26769687.7904354,0.0,0.0
Astrium Satellites SAS (Toulouse) (Part of EADS),62315866.99241806,32341726.495076854,35832368.07059795,26483498.92182011,0.0
BALL AEROSPACE AND TECHNOLOGIES CORP (HQ),16391748.8386598,6556699.53546392,16391748.8386598,0.0,0.0
Boeing Satellite Systems Inc.,112711426.4702874,44620881.605464704,104367458.26546688,8343968.204820519,0.0
CAST - Chinese Academy of Space Technology,31649408.5,8659793.8,21649484.5,0.0,9999924.0
ITS - Institute of Telecommunication Satellites (Part of CAST),3092783.5,1237113.4,3092783.5,0.0,0.0
KARI - Korea Aerospace Research Institute,2003355.318808194,801342.1275232777,2003355.318808194,0.0,0.0
Lockheed Martin Commercial Space Systems,36786556.70601156,14714622.682404624,36786556.70601156,0.0,0.0
Maxar Space Systems,85106385.3543472,34042554.14173888,85106385.3543472,0.0,0.0
Mitsubishi Electric Corp (MELCO),20717130.893306497,8286852.3573226,20717130.893306497,0.0,0.0
NGIS (Northrop Grumman Innovation Systems),3092820.6134019997,2103118.0171133596,0.0,3092820.6134019997,0.0
OHB-SYSTEM AG (HQ),5257732.5685567,2103093.02742268,5257732.5685567,0.0,0.0
ORBITAL ATK INC.,23195876.25,9278350.5,23195876.25,0.0,0.0
Orbital Sciences Corporation,9918685.09256,4626302.837024,7565725.092560001,2352960.0,0.0
SSL (Space Systems/Loral - Part of Maxar),45814677.578121774,22531337.468524806,30795154.587849997,15019522.990271777,0.0
SSL (Space Systems/Loral),115799007.28789802,50319009.60996849,90086851.94929343,25712155.338604577,0.0
SSTL - Surrey Satellite Technology Limited (Part of Airbus DS),13666206.516224822,8599430.764139377,2477105.9531910773,11189100.563033745,0.0
Thales Alenia Space France (Cannes),166285595.11322173,99066277.65962341,50028310.776312046,116257284.3369097,0.0
Thales Alenia Space France (Toulouse),6529238.3396334,2611695.3358533597,6529238.3396334,0.0,0.0
Turkish Aerospace Industries (TAI/TUSAs),7422681.018556699,2969072.4074226795,7422681.018556699,0.0,0.0
U. R. Rao Satellite Centre (URSC),1352952.0,541180.8,1352952.0,0.0,0.0
